"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"141","ENSG00000267939","AC008946.1","ENSG00000267939.1"
"142","ENSG00000160201","U2AF1","ENSG00000160201.10"
"143","ENSG00000231767","RPS27AP5","ENSG00000231767.3"
"144","ENSG00000205930","C21orf62-AS1","ENSG00000205930.7"
"145","ENSG00000268751","SCGB1B2P","ENSG00000268751.1"
"146","ENSG00000121101","TEX14","ENSG00000121101.14"
"147","ENSG00000268030","AC005253.1","ENSG00000268030.1"
"148","ENSG00000234936","AC010883.1","ENSG00000234936.1"
"149","ENSG00000206559","ZCWPW2","ENSG00000206559.6"
"150","ENSG00000272902","TBC1D8-AS1","ENSG00000272902.2"
