"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"4181","ENSG00000166845","C18orf54","ENSG00000166845.12"
"4182","ENSG00000212123","PRR22","ENSG00000212123.3"
"4183","ENSG00000123892","RAB38","ENSG00000123892.10"
"4184","ENSG00000130684","ZNF337","ENSG00000130684.12"
"4185","ENSG00000128815","WDFY4","ENSG00000128815.16"
"4186","ENSG00000153563","CD8A","ENSG00000153563.14"
"4187","ENSG00000196951","SCOC-AS1","ENSG00000196951.9"
"4188","ENSG00000259153","AC004816.1","ENSG00000259153.1"
"4189","ENSG00000236618","PITPNA-AS1","ENSG00000236618.2"
"4190","ENSG00000113212","PCDHB7","ENSG00000113212.6"
"4191","ENSG00000261556","SMG1P7","ENSG00000261556.7"
"4192","ENSG00000273247","AC097376.3","ENSG00000273247.4"
"4193","ENSG00000224888","AC138028.2","ENSG00000224888.4"
"4194","ENSG00000180758","GPR157","ENSG00000180758.11"
"4195","ENSG00000142632","ARHGEF19","ENSG00000142632.15"
"4196","ENSG00000144230","GPR17","ENSG00000144230.15"
"4197","ENSG00000196421","C20orf204","ENSG00000196421.6"
"4198","ENSG00000123329","ARHGAP9","ENSG00000123329.16"
"4199","ENSG00000172167","MTBP","ENSG00000172167.6"
"4200","ENSG00000255408","PCDHA3","ENSG00000255408.3"
"4201","ENSG00000203685","STUM","ENSG00000203685.8"
"4202","ENSG00000232653","GOLGA8N","ENSG00000232653.7"
"4203","ENSG00000280832","GSEC","ENSG00000280832.1"
"4204","ENSG00000174521","TTC9B","ENSG00000174521.7"
"4205","ENSG00000276791","AC092117.1","ENSG00000276791.1"
"4206","ENSG00000178409","BEND3","ENSG00000178409.12"
"4207","ENSG00000198223","CSF2RA","ENSG00000198223.13"
"4208","ENSG00000125845","BMP2","ENSG00000125845.6"
"4209","ENSG00000170927","PKHD1","ENSG00000170927.13"
"4210","ENSG00000276259","AC009118.3","ENSG00000276259.1"
"4211","ENSG00000183496","MEX3B","ENSG00000183496.5"
"4212","ENSG00000145794","MEGF10","ENSG00000145794.15"
"4213","ENSG00000187775","DNAH17","ENSG00000187775.15"
"4214","ENSG00000272654","AL358472.2","ENSG00000272654.1"
"4215","ENSG00000205362","MT1A","ENSG00000205362.9"
"4216","ENSG00000271646","AC099343.3","ENSG00000271646.1"
"4217","ENSG00000245105","A2M-AS1","ENSG00000245105.2"
"4218","ENSG00000259863","SH3RF3-AS1","ENSG00000259863.1"
"4219","ENSG00000167588","GPD1","ENSG00000167588.11"
"4220","ENSG00000182841","RRP7BP","ENSG00000182841.11"
"4221","ENSG00000145217","SLC26A1","ENSG00000145217.12"
"4222","ENSG00000149633","KIAA1755","ENSG00000149633.10"
"4223","ENSG00000130997","POLN","ENSG00000130997.15"
"4224","ENSG00000108375","RNF43","ENSG00000108375.11"
"4225","ENSG00000165996","HACD1","ENSG00000165996.12"
"4226","ENSG00000187984","ANKRD19P","ENSG00000187984.11"
"4227","ENSG00000162461","SLC25A34","ENSG00000162461.7"
"4228","ENSG00000126759","CFP","ENSG00000126759.11"
"4229","ENSG00000175489","LRRC25","ENSG00000175489.9"
"4230","ENSG00000103061","SLC7A6OS","ENSG00000103061.10"
"4231","ENSG00000183250","LINC01547","ENSG00000183250.10"
"4232","ENSG00000280119","AC093642.2","ENSG00000280119.1"
"4233","ENSG00000183346","CABCOCO1","ENSG00000183346.6"
