"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"13663","ENSG00000197070","ARRDC1","ENSG00000197070.12"
"13664","ENSG00000197077","KIAA1671","ENSG00000197077.11"
"13665","ENSG00000197081","IGF2R","ENSG00000197081.11"
"13666","ENSG00000197083","ZNF300P1","ENSG00000197083.10"
"13667","ENSG00000197093","GAL3ST4","ENSG00000197093.9"
"13668","ENSG00000197102","DYNC1H1","ENSG00000197102.9"
"13669","ENSG00000197111","PCBP2","ENSG00000197111.14"
"13670","ENSG00000197114","ZGPAT","ENSG00000197114.10"
"13671","ENSG00000197119","SLC25A29","ENSG00000197119.11"
"13672","ENSG00000197121","PGAP1","ENSG00000197121.13"
"13673","ENSG00000197122","SRC","ENSG00000197122.10"
"13674","ENSG00000197124","ZNF682","ENSG00000197124.10"
"13675","ENSG00000197128","ZNF772","ENSG00000197128.10"
"13676","ENSG00000197134","ZNF257","ENSG00000197134.10"
"13677","ENSG00000197136","PCNX3","ENSG00000197136.4"
"13678","ENSG00000197140","ADAM32","ENSG00000197140.13"
"13679","ENSG00000197142","ACSL5","ENSG00000197142.9"
"13680","ENSG00000197147","LRRC8B","ENSG00000197147.11"
"13681","ENSG00000197149","AC107956.1","ENSG00000197149.5"
"13682","ENSG00000197150","ABCB8","ENSG00000197150.11"
"13683","ENSG00000197157","SND1","ENSG00000197157.9"
"13684","ENSG00000197162","ZNF785","ENSG00000197162.9"
"13685","ENSG00000197165","SULT1A2","ENSG00000197165.9"
"13686","ENSG00000197168","NEK5","ENSG00000197168.10"
"13687","ENSG00000197170","PSMD12","ENSG00000197170.8"
"13688","ENSG00000197180","CH17-340M24.3","ENSG00000197180.2"
"13689","ENSG00000197181","PIWIL2","ENSG00000197181.10"
"13690","ENSG00000197182","MIRLET7BHG","ENSG00000197182.11"
"13691","ENSG00000197183","NOL4L","ENSG00000197183.11"
"13692","ENSG00000197191","CYSRT1","ENSG00000197191.4"
"13693","ENSG00000197208","SLC22A4","ENSG00000197208.5"
"13694","ENSG00000197217","ENTPD4","ENSG00000197217.11"
"13695","ENSG00000197223","C1D","ENSG00000197223.10"
"13696","ENSG00000197226","TBC1D9B","ENSG00000197226.11"
"13697","ENSG00000197245","FAM110D","ENSG00000197245.4"
"13698","ENSG00000197249","SERPINA1","ENSG00000197249.11"
"13699","ENSG00000197253","TPSB2","ENSG00000197253.12"
"13700","ENSG00000197256","KANK2","ENSG00000197256.9"
"13701","ENSG00000197258","EIF4BP6","ENSG00000197258.5"
"13702","ENSG00000197261","C6orf141","ENSG00000197261.10"
"13703","ENSG00000197265","GTF2E2","ENSG00000197265.7"
"13704","ENSG00000197275","RAD54B","ENSG00000197275.11"
"13705","ENSG00000197279","ZNF165","ENSG00000197279.3"
