"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"9363","ENSG00000164715","LMTK2","ENSG00000164715.5"
"9364","ENSG00000164733","CTSB","ENSG00000164733.19"
"9365","ENSG00000164736","SOX17","ENSG00000164736.5"
"9366","ENSG00000164741","DLC1","ENSG00000164741.13"
"9367","ENSG00000164742","ADCY1","ENSG00000164742.13"
"9368","ENSG00000164749","HNF4G","ENSG00000164749.10"
"9369","ENSG00000164751","PEX2","ENSG00000164751.13"
"9370","ENSG00000164754","RAD21","ENSG00000164754.11"
"9371","ENSG00000164758","MED30","ENSG00000164758.6"
"9372","ENSG00000164761","TNFRSF11B","ENSG00000164761.7"
"9373","ENSG00000164764","SBSPON","ENSG00000164764.10"
"9374","ENSG00000164776","PHKG1","ENSG00000164776.8"
"9375","ENSG00000164808","SPIDR","ENSG00000164808.15"
"9376","ENSG00000164815","ORC5","ENSG00000164815.9"
"9377","ENSG00000164818","DNAAF5","ENSG00000164818.14"
"9378","ENSG00000164823","OSGIN2","ENSG00000164823.8"
"9379","ENSG00000164825","DEFB1","ENSG00000164825.3"
"9380","ENSG00000164828","SUN1","ENSG00000164828.16"
"9381","ENSG00000164830","OXR1","ENSG00000164830.16"
"9382","ENSG00000164845","FAM86FP","ENSG00000164845.15"
"9383","ENSG00000164849","GPR146","ENSG00000164849.8"
"9384","ENSG00000164850","GPER1","ENSG00000164850.13"
"9385","ENSG00000164855","TMEM184A","ENSG00000164855.14"
"9386","ENSG00000164867","NOS3","ENSG00000164867.9"
"9387","ENSG00000164877","MICALL2","ENSG00000164877.17"
"9388","ENSG00000164880","INTS1","ENSG00000164880.14"
"9389","ENSG00000164885","CDK5","ENSG00000164885.11"
"9390","ENSG00000164889","SLC4A2","ENSG00000164889.11"
"9391","ENSG00000164896","FASTK","ENSG00000164896.18"
"9392","ENSG00000164897","TMUB1","ENSG00000164897.11"
"9393","ENSG00000164898","FMC1","ENSG00000164898.11"
"9394","ENSG00000164902","PHAX","ENSG00000164902.12"
"9395","ENSG00000164904","ALDH7A1","ENSG00000164904.14"
"9396","ENSG00000164916","FOXK1","ENSG00000164916.10"
"9397","ENSG00000164919","COX6C","ENSG00000164919.9"
"9398","ENSG00000164920","OSR2","ENSG00000164920.8"
"9399","ENSG00000164924","YWHAZ","ENSG00000164924.16"
"9400","ENSG00000164929","BAALC","ENSG00000164929.15"
"9401","ENSG00000164930","FZD6","ENSG00000164930.10"
"9402","ENSG00000164932","CTHRC1","ENSG00000164932.11"
"9403","ENSG00000164933","SLC25A32","ENSG00000164933.10"
"9404","ENSG00000164934","DCAF13","ENSG00000164934.12"
"9405","ENSG00000164938","TP53INP1","ENSG00000164938.12"
"9406","ENSG00000164941","INTS8","ENSG00000164941.12"
"9407","ENSG00000164944","VIRMA","ENSG00000164944.10"
"9408","ENSG00000164946","FREM1","ENSG00000164946.18"
"9409","ENSG00000164949","GEM","ENSG00000164949.6"
"9410","ENSG00000164951","PDP1","ENSG00000164951.14"
"9411","ENSG00000164953","TMEM67","ENSG00000164953.14"
"9412","ENSG00000164961","WASHC5","ENSG00000164961.14"
"9413","ENSG00000164967","RPP25L","ENSG00000164967.8"
"9414","ENSG00000164970","FAM219A","ENSG00000164970.13"
"9415","ENSG00000164975","SNAPC3","ENSG00000164975.14"
"9416","ENSG00000164976","MYORG","ENSG00000164976.8"
"9417","ENSG00000164978","NUDT2","ENSG00000164978.16"
"9418","ENSG00000164983","TMEM65","ENSG00000164983.7"
"9419","ENSG00000164985","PSIP1","ENSG00000164985.13"
"9420","ENSG00000164989","CCDC171","ENSG00000164989.14"
"9421","ENSG00000165006","UBAP1","ENSG00000165006.12"
"9422","ENSG00000165025","SYK","ENSG00000165025.13"
"9423","ENSG00000165028","NIPSNAP3B","ENSG00000165028.10"
"9424","ENSG00000165029","ABCA1","ENSG00000165029.14"
"9425","ENSG00000165030","NFIL3","ENSG00000165030.3"
"9426","ENSG00000165046","LETM2","ENSG00000165046.11"
"9427","ENSG00000165055","METTL2B","ENSG00000165055.14"
"9428","ENSG00000165060","FXN","ENSG00000165060.10"
"9429","ENSG00000165071","TMEM71","ENSG00000165071.13"
"9430","ENSG00000165072","MAMDC2","ENSG00000165072.9"
"9431","ENSG00000165092","ALDH1A1","ENSG00000165092.11"
"9432","ENSG00000165097","KDM1B","ENSG00000165097.12"
"9433","ENSG00000165102","HGSNAT","ENSG00000165102.13"
"9434","ENSG00000165105","RASEF","ENSG00000165105.9"
"9435","ENSG00000165113","GKAP1","ENSG00000165113.11"
"9436","ENSG00000165115","KIF27","ENSG00000165115.13"
"9437","ENSG00000165118","C9orf64","ENSG00000165118.13"
"9438","ENSG00000165119","HNRNPK","ENSG00000165119.17"
"9439","ENSG00000165121","AL353743.1","ENSG00000165121.10"
"9440","ENSG00000165124","SVEP1","ENSG00000165124.16"
"9441","ENSG00000165125","TRPV6","ENSG00000165125.16"
"9442","ENSG00000165138","ANKS6","ENSG00000165138.15"
"9443","ENSG00000165140","FBP1","ENSG00000165140.8"
"9444","ENSG00000165152","PGAP4","ENSG00000165152.7"
"9445","ENSG00000165156","ZHX1","ENSG00000165156.13"
"9446","ENSG00000165168","CYBB","ENSG00000165168.7"
"9447","ENSG00000165169","DYNLT3","ENSG00000165169.9"
"9448","ENSG00000165171","METTL27","ENSG00000165171.9"
"9449","ENSG00000165175","MID1IP1","ENSG00000165175.14"
"9450","ENSG00000165178","NCF1C","ENSG00000165178.9"
"9451","ENSG00000165181","SHOC1","ENSG00000165181.15"
"9452","ENSG00000165185","KIAA1958","ENSG00000165185.13"
"9453","ENSG00000165194","PCDH19","ENSG00000165194.13"
"9454","ENSG00000165195","PIGA","ENSG00000165195.12"
"9455","ENSG00000165209","STRBP","ENSG00000165209.17"
"9456","ENSG00000165215","CLDN3","ENSG00000165215.6"
"9457","ENSG00000165219","GAPVD1","ENSG00000165219.20"
"9458","ENSG00000165233","CARD19","ENSG00000165233.16"
"9459","ENSG00000165238","WNK2","ENSG00000165238.15"
"9460","ENSG00000165240","ATP7A","ENSG00000165240.16"
"9461","ENSG00000165244","ZNF367","ENSG00000165244.6"
"9462","ENSG00000165246","NLGN4Y","ENSG00000165246.11"
"9463","ENSG00000165259","HDX","ENSG00000165259.12"
"9464","ENSG00000165264","NDUFB6","ENSG00000165264.9"
"9465","ENSG00000165269","AQP7","ENSG00000165269.11"
"9466","ENSG00000165271","NOL6","ENSG00000165271.15"
"9467","ENSG00000165272","AQP3","ENSG00000165272.13"
"9468","ENSG00000165275","TRMT10B","ENSG00000165275.8"
"9469","ENSG00000165280","VCP","ENSG00000165280.14"
"9470","ENSG00000165282","PIGO","ENSG00000165282.12"
"9471","ENSG00000165283","STOML2","ENSG00000165283.14"
"9472","ENSG00000165288","BRWD3","ENSG00000165288.10"
"9473","ENSG00000165304","MELK","ENSG00000165304.6"
"9474","ENSG00000165312","OTUD1","ENSG00000165312.6"
"9475","ENSG00000165322","ARHGAP12","ENSG00000165322.16"
"9476","ENSG00000165323","FAT3","ENSG00000165323.14"
"9477","ENSG00000165338","HECTD2","ENSG00000165338.15"
"9478","ENSG00000165355","FBXO33","ENSG00000165355.7"
"9479","ENSG00000165359","INTS6L","ENSG00000165359.13"
"9480","ENSG00000165389","SPTSSA","ENSG00000165389.6"
"9481","ENSG00000165392","WRN","ENSG00000165392.8"
"9482","ENSG00000165406","MARCHF8","ENSG00000165406.14"
"9483","ENSG00000165410","CFL2","ENSG00000165410.13"
"9484","ENSG00000165416","SUGT1","ENSG00000165416.13"
"9485","ENSG00000165417","GTF2A1","ENSG00000165417.10"
"9486","ENSG00000165424","ZCCHC24","ENSG00000165424.6"
